us_l3code,SURVEY_YEA,DCA_COMMON,area_m2
1,2020,unknown,351.67490957187397
1,2020,unknown,191.84270657161719
1,2020,unknown,117.39091803115076
1,2020,unknown,339.34665811484416
1,2020,unknown,206.6300230719052
1,2020,unknown,176.23266813817685
1,2020,unknown,221.9630522401406
1,2020,unknown,275.2328016576764
1,2020,unknown,517.5362485873675
1,2020,unknown,358.8197840733295
1,2020,unknown,78.2158840306748
1,2020,unknown,114.25559964982584
1,2020,unknown,153.4826158028404
1,2020,unknown,431.53989816569197
1,2020,unknown,125.97605073925018
1,2020,unknown,122.55438300553004
1,2020,unknown,58.61048002995582
1,2020,unknown,20.509792840368828
1,2020,unknown,293.86101373141713
78,2020,unknown,71.16539216010149
78,2020,unknown,50.60774441752665
78,2020,unknown,86.85840999927423
78,2020,unknown,123.36555964826533
78,2020,unknown,153.21256217793797
78,2020,unknown,114.56510090277393
78,2020,unknown,85.100684334549
78,2020,unknown,220.19842871627378
78,2020,unknown,438.688862662229
78,2020,unknown,57.87695197454617
78,2020,unknown,28.15128591097816
78,2020,unknown,28.703803958149877
78,2020,unknown,25.21414922607589
78,2020,unknown,69.80272038250008
78,2020,unknown,42.46449253811193
78,2020,unknown,20.451822588159885
78,2020,unknown,51.65474502477513
78,2020,unknown,144.86986315943906
78,2020,unknown,22.8772776730506
78,2020,unknown,26.017897268423894
78,2020,unknown,31.447876509115513
78,2020,unknown,32.48578387270468
78,2020,unknown,186.77287740275764
78,2020,unknown,86.16090746429357
78,2020,unknown,56.1669960813087
78,2020,unknown,286.0799508095331
78,2020,unknown,48.766786683646586
78,2020,unknown,44.37829862054867
78,2020,unknown,33.907107387180645
78,2020,unknown,32.88890065323599
78,2020,unknown,70.67809625745699
78,2020,unknown,28.54828767394534
78,2020,unknown,36.543390414266455
78,2020,unknown,20.67073076022118
78,2020,unknown,27.354496347318182
78,2020,unknown,32.459495697657154
78,2020,unknown,36.17982952402322
78,2020,unknown,16.082207221532457
78,2020,unknown,100.84130605079088
78,2020,unknown,49.79171472502858
78,2020,unknown,75.9281613117091
78,2020,unknown,61.41184991835379
78,2020,unknown,156.17333781777464
78,2020,unknown,70.60494523073295
78,2020,unknown,65.42052796806217
78,2020,unknown,51.77363407341088
78,2020,unknown,27.606138733792637
78,2020,unknown,14.964960094245978
78,2020,unknown,74.09934578487557
78,2020,unknown,205.4210271355091
78,2020,unknown,63.926654176710635
78,2020,unknown,30.776690797437162
78,2020,unknown,39.297951990331214
78,2020,unknown,118.86608567592978
78,2020,unknown,76.33388415961376
78,2020,unknown,89.74275548778037
78,2020,unknown,42.39126061797127
78,2020,unknown,90.77314671150661
78,2020,unknown,59.273217810500604
78,2020,unknown,222.8523786691271
78,2020,unknown,94.1691327680209
78,2020,unknown,68.5782048397076
78,2020,unknown,103.30807538247174
78,2020,unknown,48.59909413391352
