subregion,year,native_class,pixel_count,area_ha,spatial_prevalence_pct
SACN,2016,agriculture,198,17.82,1.976
SACN,2016,beaver,178,16.02,1.777
SACN,2016,flooding,95,8.55,0.948
SACN,2016,unknown,58,5.22,0.579
SACN,2017,harvest,9044,813.96,73.326
SACN,2017,development,2686,241.74,21.777
SACN,2017,unknown,374,33.66,3.032
SACN,2017,agriculture,277,24.93,2.246
SACN,2017,beaver,204,18.36,1.654
SACN,2017,flooding,45,4.05,0.365
SACN,2017,insect_disease_mort,26,2.34,0.211
SACN,2018,harvest,6485,583.65,82.727
SACN,2018,development,1140,102.6,14.543
SACN,2018,unknown,84,7.56,1.072
SACN,2018,agriculture,57,5.13,0.727
SACN,2018,beaver,51,4.59,0.651
SACN,2018,flooding,22,1.98,0.281
SACN,2019,harvest,9666,869.94,85.6
SACN,2019,development,1510,135.9,13.372
SACN,2019,unknown,246,22.14,2.179
SACN,2019,agriculture,137,12.33,1.213
SACN,2019,flooding,52,4.68,0.461
SACN,2019,beaver,18,1.62,0.159
SACN,2020,harvest,6615,595.35,71.244
SACN,2020,development,1353,121.77,14.572
SACN,2020,beaver,663,59.67,7.141
SACN,2020,unknown,531,47.79,5.719
SACN,2020,flooding,140,12.6,1.508
SLBE,1990,harvest,3357,302.13,69.952
SLBE,1990,development,1460,131.4,30.423
SLBE,1990,agriculture,85,7.65,1.771
SLBE,1991,harvest,3089,278.01,74.344
SLBE,1991,development,1025,92.25,24.669
SLBE,1991,agriculture,69,6.21,1.661
SLBE,1992,harvest,2246,202.14,57.842
SLBE,1992,development,1722,154.98,44.347
SLBE,1992,agriculture,343,30.87,8.833
SLBE,1993,development,1304,117.36,56.45
SLBE,1993,harvest,862,77.58,37.316
SLBE,1993,agriculture,144,12.96,6.234
SLBE,1994,harvest,2324,209.16,56.149
SLBE,1994,development,1840,165.6,44.455
SLBE,1994,agriculture,10,0.9,0.242
SLBE,1995,harvest,3817,343.53,59.446
SLBE,1995,development,2651,238.59,41.286
SLBE,1996,development,4622,415.98,76.473
SLBE,1996,harvest,1509,135.81,24.967
SLBE,1996,agriculture,298,26.82,4.931
SLBE,1997,development,3593,323.37,59.008
SLBE,1997,harvest,2598,233.82,42.667
SLBE,1997,agriculture,28,2.52,0.46
SLBE,1998,harvest,3211,288.99,58.961
SLBE,1998,development,2366,212.94,43.445
SLBE,1998,agriculture,82,7.38,1.506
SLBE,1999,development,1663,149.67,49.509
SLBE,1999,harvest,1504,135.36,44.775
SLBE,1999,agriculture,192,17.28,5.716
SLBE,2000,development,3054,274.86,63.034
SLBE,2000,harvest,1685,151.65,34.778
SLBE,2000,agriculture,131,11.79,2.704
SLBE,2000,flooding,29,2.61,0.599
SLBE,2001,development,3100,279.0,55.645
SLBE,2001,harvest,2725,245.25,48.914
SLBE,2001,agriculture,52,4.68,0.933
SLBE,2002,harvest,2696,242.64,58.698
SLBE,2002,development,1783,160.47,38.82
SLBE,2002,agriculture,266,23.94,5.791
SLBE,2003,development,2696,242.64,47.683
SLBE,2003,harvest,2517,226.53,44.517
SLBE,2003,agriculture,459,41.31,8.118
SLBE,2003,insect_disease_mort,59,5.31,1.044
SLBE,2003,flooding,12,1.08,0.212
SLBE,2004,development,2311,207.99,50.691
SLBE,2004,harvest,2164,194.76,47.467
SLBE,2004,agriculture,107,9.63,2.347
SLBE,2005,harvest,3531,317.79,54.09
SLBE,2005,development,2937,264.33,44.991
SLBE,2005,agriculture,107,9.63,1.639
SLBE,2006,harvest,5833,524.97,58.997
SLBE,2006,development,3571,321.39,36.118
SLBE,2006,agriculture,497,44.73,5.027
SLBE,2006,insect_disease_mort,96,8.64,0.971
SLBE,2006,unknown,15,1.35,0.152
SLBE,2006,blowdown,9,0.81,0.091
SLBE,2007,harvest,3362,302.58,60.566
SLBE,2007,development,1501,135.09,27.04
SLBE,2007,agriculture,633,56.97,11.403
SLBE,2007,unknown,125,11.25,2.252
SLBE,2008,harvest,2840,255.6,68.187
SLBE,2008,development,811,72.99,19.472
SLBE,2008,agriculture,514,46.26,12.341
SLBE,2009,harvest,6680,601.2,79.119
SLBE,2009,agriculture,1119,100.71,13.254
SLBE,2009,development,688,61.92,8.149
SLBE,2010,harvest,3917,352.53,80.464
SLBE,2010,agriculture,642,57.78,13.188
SLBE,2010,development,396,35.64,8.135
SLBE,2010,unknown,14,1.26,0.288
SLBE,2010,insect_disease_mort,13,1.17,0.267
SLBE,2011,harvest,2422,217.98,58.432
SLBE,2011,agriculture,1361,122.49,32.835
SLBE,2011,development,303,27.27,7.31
SLBE,2011,unknown,59,5.31,1.423
SLBE,2012,harvest,6048,544.32,70.506
SLBE,2012,agriculture,1550,139.5,18.069
SLBE,2012,development,872,78.48,10.166
SLBE,2012,insect_disease_mort,144,12.96,1.679
SLBE,2012,unknown,20,1.8,0.233
SLBE,2013,harvest,2394,215.46,79.245
SLBE,2013,agriculture,365,32.85,12.082
SLBE,2013,development,262,23.58,8.673
SLBE,2014,harvest,8436,759.24,78.643
SLBE,2014,agriculture,1002,90.18,9.341
SLBE,2014,development,938,84.42,8.744
SLBE,2014,insect_disease_mort,480,43.2,4.475
SLBE,2015,harvest,6363,572.67,71.254
SLBE,2015,agriculture,1133,101.97,12.688
SLBE,2015,development,942,84.78,10.549
SLBE,2015,insect_disease_mort,286,25.74,3.203
SLBE,2015,blowdown,185,16.65,2.072
SLBE,2015,unknown,32,2.88,0.358
SLBE,2016,blowdown,5359,482.31,46.551
SLBE,2016,harvest,4327,389.43,37.587
SLBE,2016,development,997,89.73,8.661
SLBE,2016,agriculture,592,53.28,5.142
SLBE,2016,insect_disease_mort,213,19.17,1.85
SLBE,2016,unknown,34,3.06,0.295
SLBE,2017,harvest,5539,498.51,84.013
SLBE,2017,development,476,42.84,7.22
SLBE,2017,unknown,359,32.31,5.445
SLBE,2017,agriculture,197,17.73,2.988
SLBE,2017,insect_disease_mort,22,1.98,0.334
SLBE,2018,harvest,4539,408.51,55.707
SLBE,2018,agriculture,2000,180.0,24.546
SLBE,2018,development,1606,144.54,19.71
SLBE,2018,insect_disease_mort,58,5.22,0.712
SLBE,2019,harvest,5480,493.2,75.461
SLBE,2019,development,946,85.14,13.027
SLBE,2019,agriculture,509,45.81,7.009
SLBE,2019,insect_disease_mort,165,14.85,2.272
SLBE,2019,unknown,162,14.58,2.231
SLBE,2020,harvest,7107,639.63,76.899
SLBE,2020,development,1496,134.64,16.187
SLBE,2020,agriculture,459,41.31,4.966
SLBE,2020,insect_disease_mort,242,21.78,2.618
SLBE,2020,unknown,9,0.81,0.097
SLBE,2021,harvest,4349,391.41,66.928
SLBE,2021,development,1641,147.69,25.254
SLBE,2021,insect_disease_mort,340,30.6,5.232
